topic,price
(21)  สำนักงานเขตพระนคร,412864000
(22)  สำนักงานเขตป้อมปราบศัตรูพ่าย,252196000
(23)  สำนักงานเขตสัมพันธวงศ์,208176600
(24)  สำนักงานเขตบางรัก,246445000
(25)  สำนักงานเขตปทุมวัน,354141000
(26)  สำนักงานเขตยานนาวา,310196614
(27)  สำนักงานเขตดุสิต,401245000
(28)  สำนักงานเขตพญาไท,335172500
(29)  สำนักงานเขตห้วยขวาง,352262000
(30)  สำนักงานเขตพระโขนง,281172800
(31)  สำนักงานเขตบางกะปิ,524131000
(32)  สำนักงานเขตบางเขน,421948600
(33)  สำนักงานเขตมีนบุรี,509962100
(34)  สำนักงานเขตลาดกระบัง,567466000
(35)  สำนักงานเขตหนองจอก,589363000
(36)  สำนักงานเขตธนบุรี,397104900
(37)  สำนักงานเขตคลองสาน,309402000
(38)  สำนักงานเขตบางกอกใหญ่,267938900
(39)  สำนักงานเขตบางกอกน้อย,416491388
(40)  สำนักงานเขตตลิ่งชัน,402209640
(41)  สำนักงานเขตภาษีเจริญ,384617500
(42)  สำนักงานเขตหนองแขม,420905400
(43)  สำนักงานเขตบางขุนเทียน,579297000
(44)  สำนักงานเขตราษฎร์บูรณะ,298729000
(45)  สำนักงานเขตดอนเมือง,422753800
(46)  สำนักงานเขตจตุจักร,534717800
(47)  สำนักงานเขตลาดพร้าว,376722000
(48)  สำนักงานเขตบึงกุ่ม,354848700
(49)  สำนักงานเขตสาทร,305809000
(50)  สำนักงานเขตบางคอแหลม,306933000
(51)  สำนักงานเขตบางซื่อ,348972900
(52)  สำนักงานเขตราชเทวี,369857500
(53)  สำนักงานเขตคลองเตย,385862000
(54)  สำนักงานเขตประเวศ,584808000
(55)  สำนักงานเขตบางพลัด,311873800
(56)  สำนักงานเขตจอมทอง,396522000
(57)  สำนักงานเขตดินแดง,331004000
(58)  สำนักงานเขตสวนหลวง,371965000
(59)  สำนักงานเขตวัฒนา,341754000
(60)  สำนักงานเขตบางแค,477760400
(61)  สำนักงานเขตหลักสี่,346889000
(62)  สำนักงานเขตสายไหม,418022000
(63)  สำนักงานเขตคันนายาว,274038900
(64)  สำนักงานเขตสะพานสูง,335301000
(65)  สำนักงานเขตวังทองหลาง,328651000
(66)  สำนักงานเขตคลองสามวา,460117000
(67)  สำนักงานเขตบางนา,312974000
(68)  สำนักงานเขตทวีวัฒนา,376179600
(69)  สำนักงานเขตทุ่งครุ,393224000
(70)  สำนักงานเขตบางบอน,352621000
(71)  มหาวิทยาลัยนวมินทราธิราช,3134633000
